pixel_size_µm,sapphire_1_mm²,sapphire_2_mm²
1.12,136.35578880000003,136.65383424000004
1.4,213.05592,213.521616
2.0,434.808,435.7584
3.45,1293.8255550000003,1296.6535890000005
4.3,2009.89998,2014.2932039999998
